Przebieg 1 seed: 1410
0;3141.0
200;2095.0
400;2095.0
600;1629.0
800;1254.0
1000;1241.0
1200;1241.0
1400;1241.0
1600;1241.0
Przebieg 2 seed: 9674
0;4024.0
200;1958.0
400;1747.0
600;1747.0
800;1747.0
1000;1741.0
1200;1741.0
1400;1741.0
1600;1614.0
Przebieg 3 seed: 155
0;3194.0
200;1083.0
400;837.0
600;837.0
800;837.0
1000;837.0
1200;837.0
1400;837.0
1600;837.0
Przebieg 4 seed: 3486
0;2897.0
200;1716.0
400;1259.0
600;764.0
800;764.0
1000;764.0
1200;764.0
1400;764.0
1600;764.0
Przebieg 5 seed: 7158
0;2453.0
200;1278.0
400;1278.0
600;1278.0
800;1071.0
1000;1071.0
1200;1071.0
1400;1071.0
1600;1071.0
Przebieg 6 seed: 5325
0;2422.0
200;724.0
400;722.0
600;722.0
800;712.0
1000;712.0
1200;712.0
1400;712.0
1600;712.0
Przebieg 7 seed: 9742
0;4014.0
200;1361.0
400;1361.0
600;1171.0
800;1171.0
1000;614.0
1200;614.0
1400;614.0
1600;614.0
Przebieg 8 seed: 7081
0;4464.0
200;2150.0
400;2150.0
600;2150.0
800;2150.0
1000;2150.0
1200;1885.0
1400;1885.0
1600;1885.0
Przebieg 9 seed: 992
0;3756.0
200;2399.0
400;2399.0
600;2399.0
800;2399.0
1000;2399.0
1200;2399.0
1400;2399.0
1600;2328.0
Przebieg 10 seed: 3122
0;6352.0
200;2339.0
400;2339.0
600;2339.0
800;2339.0
1000;2308.0
1200;2308.0
1400;2146.0
1600;2146.0
